--- Log zapocet: 5/6/2026 5:29:31 PM ---
[17:29:43] [Nit 9] Cache hit (q): mona lisa, Vreme: 0.0394ms
[17:29:43] [Nit 12] Cache hit (q): mona lisa, Vreme: 0.0275ms
[17:29:43] [Nit 14] Cache hit (q): mona lisa, Vreme: 0.0471ms
[17:29:43] [Nit 10] Cache hit (author): van gogh, Vreme: 0.0242ms
[17:29:43] [Nit 13] Cache hit (author): van gogh, Vreme: 0.0409ms
[17:29:43] [Nit 5] Cache hit (author): van gogh, Vreme: 0.0119ms
[17:29:43] [Nit 8] Cache hit (author): van gogh, Vreme: 0.0459ms
[17:29:43] [Nit 7] Cache hit (author): van gogh, Vreme: 0.0342ms
[17:29:43] [Nit 11] Cache hit (author): van gogh, Vreme: 0.0214ms
[17:29:43] [Nit 6] Cache hit (author): van gogh, Vreme: 0.0461ms
[17:29:43] [Nit 9] Cache hit (author): van gogh, Vreme: 0.0367ms
[17:29:43] [Nit 12] Cache hit (author): van gogh, Vreme: 0.0233ms
[17:29:43] [Nit 14] Cache hit (author): van gogh, Vreme: 0.0233ms
[17:29:43] [Nit 10] Cache hit (author): van gogh, Vreme: 0.0229ms
[17:29:43] [Nit 13] Cache hit (author): van gogh, Vreme: 0.0236ms
[17:29:43] [Nit 5] Cache hit (author): van gogh, Vreme: 0.0372ms
[17:29:43] [Nit 8] Cache hit (author): van gogh, Vreme: 0.027ms
[17:29:43] [Nit 7] Cache hit (q): picasso, Vreme: 0.0197ms
[17:29:43] [Nit 11] Cache hit (author): van gogh, Vreme: 0.0425ms
[17:29:43] [Nit 6] Cache hit (author): van gogh, Vreme: 0.0189ms
[17:29:43] [Nit 9] Cache hit (author): van gogh, Vreme: 0.0394ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.0585ms
[17:29:43] [Nit 14] Cache hit (author): van gogh, Vreme: 0.0345ms
[17:29:43] [Nit 10] Cache hit (author): van gogh, Vreme: 0.0228ms
[17:29:43] [Nit 13] Cache hit (q): picasso, Vreme: 0.027ms
[17:29:43] [Nit 5] Cache hit (q): picasso, Vreme: 0.0381ms
[17:29:43] [Nit 8] Cache hit (q): picasso, Vreme: 0.0406ms
[17:29:43] [Nit 7] Cache hit (q): picasso, Vreme: 0.0161ms
[17:29:43] [Nit 11] Cache hit (q): picasso, Vreme: 0.0213ms
[17:29:43] [Nit 6] Cache hit (q): picasso, Vreme: 0.0472ms
[17:29:43] [Nit 9] Cache hit (q): picasso, Vreme: 0.0227ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.0841ms
[17:29:43] [Nit 14] Cache hit (q): picasso, Vreme: 0.0448ms
[17:29:43] [Nit 10] Cache hit (q): picasso, Vreme: 0.0324ms
[17:29:43] [Nit 13] Cache hit (q): picasso, Vreme: 0.0299ms
[17:29:43] [Nit 5] Cache hit (q): picasso, Vreme: 0.0651ms
[17:29:43] [Nit 8] Cache hit (q): picasso, Vreme: 0.0353ms
[17:29:43] [Nit 7] Cache hit (q): cats, Vreme: 0.0487ms
[17:29:43] [Nit 11] Cache hit (q): picasso, Vreme: 0.0387ms
[17:29:43] [Nit 6] Cache hit (q): picasso, Vreme: 0.0186ms
[17:29:43] [Nit 9] Cache hit (q): picasso, Vreme: 0.0266ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.0347ms
[17:29:43] [Nit 14] Cache hit (q): picasso, Vreme: 0.0224ms
